Title,Description,Time,Tag,Link
UK government not taking climate seriously - advisers,"The government has made little progress in preparing the UK for rising temperatures, climate watchdog the CCC says.",30 Apr 2025,Climate,https://www.bbc.com/news/articles/cvgpey03pnno
Climate experts criticise handling of Tata changes,"Ministers should have been better at planning and making sure green jobs were available, report says.",9 hrs ago,Wales,https://www.bbc.com/news/articles/c79ezrvd9neo
"Climate, traffic and rubbish - voters want answers",Climate change is a priority for one voter in the local county council elections on 1 May.,29 Apr 2025,Coventry & Warwickshire,https://www.bbc.com/news/articles/c045x162575o
Welsh meat promoter criticised on climate comments,"A group that promotes Welsh meat has been accused of ""peddling climate change misinformation"".",27 Apr 2025,Wales,https://www.bbc.com/news/articles/czd32791m17o
How the political consensus in UK on climate change has shattered,"In 2019, the UK committed in law to reducing its carbon emissions to net zero by 2050. Now the political climate has changed.",2 May 2025,No tag,https://www.bbc.com/news/articles/cx20znjejw1o
The race against time to save US climate data,"Swathes of scientific data deletions are sweeping across US government websites – with decades of research at risk. Now, scientists are racing to save their work before it's lost.",23 Apr 2025,Future,https://www.bbc.com/future/article/20250422-usa-scientists-race-to-save-climate-data-before-its-deleted-by-the-trump-administration
Nuclear v renewables: The coal mining town caught in Australia's climate wars,"Some worry renewed debate over Australia's energy future is reopening the ""climate wars"" of years past.",30 Apr 2025,Australia,https://www.bbc.com/news/articles/cx284y23p0mo
Climate protest jail term deemed 'disproportionate',A UN Special Rapporteur claims the sentence handed to a GP who smashed up petrol pumps is too long.,14 Apr 2025,Bristol,https://www.bbc.com/news/articles/c1lmmlpmgldo
Canada's top candidates talk up fossil fuels as climate slips down agenda,"Amid tariff threats from the US, energy and economic security are key issues in Canada's federal election.",22 Apr 2025,US & Canada,https://www.bbc.com/news/articles/c87pev3jpyyo
Australia opposition leader clarifies he believes in climate change after debate,Peter Dutton is facing outrage after comments he made on climate change during an election debate.,17 Apr 2025,Australia,https://www.bbc.com/news/articles/clyq9pr47ejo
City's Pride cancelled over 'economic climate',Hereford Pride has been cancelled and the organisation in charge is being closed down.,8 Apr 2025,Hereford & Worcester,https://www.bbc.com/news/articles/c4g9eyyk2z5o
Woman finds rare venomous centipede in flat,The arthropods are more commonly found in warmer climates than the UK.,4 days ago,Lancashire,https://www.bbc.com/news/articles/c8ep202037ro
O'Neill brands DUP's climate change vote a 'dereliction of duty',MLAs were debating regulations brought by the Executive Office that will provide powers to appoint a commissioner.,8 Apr 2025,Northern Ireland Politics,https://www.bbc.com/news/articles/cwy6n2pn82yo
Attenborough at 99 delivers 'greatest message he's ever told',Sir David says his new film Ocean is one of the most important of his career.,8 days ago,Climate,https://www.bbc.com/news/articles/cn0wjxg0ex1o
Area burned by UK wildfires in 2025 already at annual record,"The prolonged dry, sunny weather in March and April created ideal conditions for wildfires to spread.",27 Apr 2025,Climate,https://www.bbc.com/news/articles/c0m9gm3jwljo
"Up to £5,000 available for environmental projects",The most recent round of the Elmbridge Community Climate Action Fund is open to bids until 22 June.,30 Apr 2025,Surrey,https://www.bbc.com/news/articles/cgqvj4qyzz5o
The farm where every day is a perfect summer's day,"Basil, coriander and lettuce leaves are being nurtured in an unusual farm in Bracknell.",1 day ago,England,https://www.bbc.com/news/articles/ced2172vzq8o
Blow to clean energy drive as major UK windfarm ditched,"In a blow to the government's clean energy ambitions, a company cancels a huge windfarm off Yorkshire.",7 days ago,No tag,https://www.bbc.com/news/articles/ce848g8l8vro
Blair says UK's net zero policies 'doomed to fail',The former PM's call for a change of course is rejected by Downing Street but welcomed by the Tories and Reform.,30 Apr 2025,Politics,https://www.bbc.com/news/articles/cpvrwyp0jx3o
UK government defends net-zero policies after Blair criticism,"Former PM Sir Tony Blair says limiting fossil fuels is ""doomed to fail"" and a new approach is needed.",30 Apr 2025,Politics,https://www.bbc.com/news/articles/cq80974l402o
"Australia Greens leader loses seat, cites 'Trump effect'","Adam Bandt was ousted by a ""riptide"" of swing votes, which he blamed on the so-called Trump effect.",6 days ago,Australia,https://www.bbc.com/news/articles/c04e99315pzo
The satellite that will 'weigh' world's 1.5 trillion trees,The new satellite will be able to see through clouds and forest canopies.,29 Apr 2025,Climate,https://www.bbc.com/news/articles/crldwjj6d6no
Council leader 'will not take diversity training',Sean Matthews discussed his party's stance on the matter on Politics North.,3 days ago,Lincolnshire,https://www.bbc.com/news/articles/cm2kylzv40eo
Council Green Party group leader steps down,Nicola Day says she hopes to spend more time in her community and focus on the climate crisis.,8 days ago,Peterborough,https://www.bbc.com/news/articles/cvgngejqlqqo
"Wales facing unrecognisable future, warns commissioner","Wales faces ""unrecognisable future"" without urgent action, future generations commissioner says.",29 Apr 2025,Wales,https://www.bbc.com/news/articles/c0m9j739k28o
Carbon capture company wins $5m to scale up,"Researchers at Newcastle University were ""instrumental"" in developing the technology, UNDO says.",3 May 2025,England,https://www.bbc.com/news/articles/cn054gj8dwro
Map shows 80% of peatlands dry and degraded,"The government say the findings, shown on an open source map, present a worrying picture.",2 days ago,England,https://www.bbc.com/news/articles/cn8zg4y8979o
Northern Ireland has second-sunniest April on record,"Sunshine hours were well above the average for the time of year, with 215.7 hours of sun throughout April.",1 May 2025,Northern Ireland,https://www.bbc.com/news/articles/cx2wz455l1no
Warmest April day in NI for 40 years,The 24.1C recorded is just shy of the April record of 24.5C set at Boom Hall in Londonderry.,30 Apr 2025,Northern Ireland,https://www.bbc.com/news/articles/cm2xgv4p27no
Just Stop Oil was policed to extinction - now the movement has gone deeper underground,Climate activists may be going deeper underground.,25 Apr 2025,BBC InDepth,https://www.bbc.com/news/articles/cz6denxzweeo
Quarry decision 'failed to assess climate effects',Lawyers say the council failed to assess the climate impacts of the proposed Northumberland quarry.,2 Apr 2025,Tyne,https://www.bbc.com/news/articles/clyw492v8vgo
"Region to get 10,000 new electric vehicle chargers",The West Midlands' mayor says the move will help to reduce pollution and tackle climate change.,30 Apr 2025,England,https://www.bbc.com/news/articles/cx2vmkv7ke1o
How could peatlands fall victim to climate change?,"Conditions are set to become ""too hot and too dry"" for carbon-storing peat to form, research shows.",3 Apr 2025,Devon,https://www.bbc.com/news/articles/c897dg8xnd8o
"Chip-shop fish key to seabed health, study finds",The Convex Seascape Survey finds the Atlantic cod is one of many species to have been overfished.,29 Apr 2025,England,https://www.bbc.com/news/articles/cwyql951g0wo
Dry weather threatens 'exceptionally low' rivers in parts of UK,The warning comes after some parts of the UK had the driest Spring in nearly a century.,48 mins ago,Science & Environment,https://www.bbc.com/news/articles/crmkn7rjv7zo
Lowest rainfall in 90 years as temperatures set to soar,"In February, March and April, just 78mm (3in) of rain fell across the region, the lowest since 1938.",30 Apr 2025,England,https://www.bbc.com/news/articles/cdxg8lqxyggo
CO2 capture project hopes to bring 'quality' jobs,Direct carbon capture removes CO2 from the atmosphere and locks it away.,2 May 2025,Norfolk,https://www.bbc.com/news/articles/cvg70g14qjvo
Australia: A guide to election day,It's a close race between Albanese and Dutton - here's what you need to know going into election day.,2 May 2025,Australia,https://www.bbc.com/news/articles/cp91lyp1e8lo
Miliband urges global cooperation amid energy 'challenges',The UK Energy Secretary was speaking at the opening of a two day summit on energy security.,24 Apr 2025,No tag,https://www.bbc.com/news/articles/cp8kr8k28z2o
Residents celebrate gas-fired power plant refusal,Inspector rejects plans due to concern over its effects on nearby residents and ecology.,3 May 2025,Wales,https://www.bbc.com/news/articles/c9w8z5k7q79o
Council to end lease of erosion-threatened car park,The site at Lossiemouth West Beach is expected to be regularly under water by the end of the century.,2 May 2025,"NE, Orkney & Shetland",https://www.bbc.com/news/articles/cgjlq2v3e6zo
Free city centre parking for green vehicles to end,Sheffield councillors say the scheme is no longer sustainable due to a surge in low-emission cars.,1 May 2025,South Yorkshire,https://www.bbc.com/news/articles/cly54v4d4n9o
Great time to invest in rugby - Newcastle's Diamond,Newcastle Falcons consultant director of rugby Steve Diamond says big companies should be interested in investing in rugby union.,23 hrs ago,Newcastle,https://www.bbc.com/sport/rugby-union/articles/cx2jwwlxl1ko
Cash for tourist firms to shelter visitors from rain,"Tourism businesses could claim up to £20k from the Welsh government to invest in ""weather-proofing"".",30 Apr 2025,Wales,https://www.bbc.com/news/articles/c62z1v2kyy6o
What is life like in the shadow of solar farms?,Residents of Ashby-de-la-Zouch offer mixed views on the fields of solar panels surrounding the town.,6 May 2025,Leicestershire,https://www.bbc.com/news/articles/c2ew0rv3d28o
Bug splat survey reveals 'alarming' decline,Kent Wildlife Trust's bug splat survey is monitoring the decline in numbers in the UK and Ireland.,3 May 2025,Kent,https://www.bbc.com/news/articles/c3v947vlkzgo
Cash boost to install electric car charging points,More than 20 areas could see points installed from the summer under Kirklees Council plans.,30 Apr 2025,West Yorkshire,https://www.bbc.com/news/articles/c934593n12vo
What is Earth Day and what has it achieved?,The worldwide event aims to raise awareness about the need to protect the environment.,21 Apr 2025,Science & Environment,https://www.bbc.com/news/science-environment-68610073
